"1","3","0","0","0","0","0","2","22","2","14","64"
"2","0","0","0","0","1","0","3","4","0","7","58"
"3","1","0","0","0","1","0","2","7","1","6","61"
"4","2","0","0","0","1","0","1","4","0","5","47"
"5","0","0","0","0","1","0","0","7","0","6","51"
"6","2","0","0","0","1","1","1","3","2","5","58"
"7","1","0","0","0","3","0","1","6","1","2","69"
"8","2","0","0","0","0","0","0","9","3","10","65"
"9","1","0","0","0","0","0","0","1","1","6","80"
"10","0","0","0","0","0","0","1","4","0","4","65"
"11","0","0","0","0","0","1","1","3","2","8","80"
"12","1","0","0","0","1","0","2","1","4","2","66"
"13","2","0","0","0","0","0","4","2","0","1","50"
"14","0","0","0","0","0","0","3","4","1","0","56"
"15","0","0","0","0","0","0","1","6","1","1","50"
"16","1","0","0","0","0","0","1","6","1","0","58"
"17","1","0","0","0","0","0","4","2","0","0","52"
"18","0","0","0","0","1","0","3","1","1","4","68"
"19","0","0","0","0","0","0","4","6","1","2","58"
"20","1","0","0","0","0","0","1","2","0","1","79"
"21","1","0","0","0","0","0","6","3","2","1","79"
"22","2","0","0","0","0","0","6","11","1","1","69"
"23","5","0","0","0","0","1","1","8","0","0","76"
"24","4","0","0","0","0","0","1","8","0","0","61"
"25","9","0","0","0","1","0","6","11","1","0","65"
"26","11","0","0","0","1","2","2","11","1","1","73"
"27","11","0","0","0","4","4","1","9","2","0","68"
"28","8","0","0","0","5","1","3","12","1","0","72"
"29","3","0","0","0","2","2","0","8","3","0","65"
"30","2","0","0","0","4","1","2","15","2","1","54"
"31","7","0","0","0","1","4","1","13","0","0","48"
"32","1","0","0","0","0","2","1","11","0","0","52"
"33","1","0","0","0","4","4","1","17","0","0","68"
"34","0","0","0","0","3","1","2","22","1","0","60"
"35","5","0","0","0","2","5","3","27","0","3","56"
"36","5","0","0","0","3","4","1","29","1","4","54"
"37","4","0","0","0","2","5","2","43","0","2","84"
"38","4","0","0","0","2","1","0","45","1","2","63"
"39","5","0","0","0","2","3","1","66","1","9","63"
"40","3","0","0","0","3","1","1","50","0","2","72"
"41","1","0","0","0","9","3","1","62","1","9","47"
"42","0","0","0","0","10","3","0","61","1","6","80"
"43","3","0","0","0","4","0","2","40","1","5","70"
"44","3","0","0","0","14","0","0","47","2","4","71"
"45","3","0","0","0","10","0","1","46","2","6","50"
"46","2","0","0","0","14","0","1","38","0","4","73"
"47","3","0","0","0","10","0","1","33","1","4","54"
"48","9","0","0","0","5","0","0","35","0","7","36"
"49","8","0","0","0","4","0","1","18","1","6","39"
"50","16","0","0","0","1","0","1","13","0","4","36"
"51","10","0","0","0","2","0","1","15","1","8","29"
"52","6","0","0","0","1","0","0","5","0","9","22"
